indicatorId,geoUnit,year,type,subtype,value
CR.MOD.1.F,BGD,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2021,Source,Data sources,GEMR modelled data; 17 February 2025
